CODIGO ARTICULO,CLI,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARTICULO246,7012,,,,,,4,,,,4
ARTICULO247,7012,,,,5,,,,,,
ARTICULO248,3669,15,20,25,15,5,,,,,
,6494,2,,,,,,,,,
,7498,3,2,3,6,4,,,,,
ARTICULO251,7498,,,,,2,,,,,
ARTICULO252,1901,,,2,,,2,,,,
ARTICULO253,314,,,,1,1,,,,,
,6008,,,,,,,,2,,
ARTICULO255,6802,,,1,1,,,,,,
ARTICULO256,6787,,,,,,,,1,,1
,6802,,1,12,6,13,5,1,,,
,9606,,,,,,,,,2,
,20100,,,,,,,,1,,
ARTICULO260,39,,2,6,6,6,5,,,,
,794,31,44,5,,,,,,,
,969,,1,,,,,,,,
ARTICULO263,4743,,,,,1,,,,,
ARTICULO264,427,,,,,,,4,,,
,3971,,,,,,,,2,,
,6802,171,170,150,172,178,146,175,190,131,206
ARTICULO267,6787,,,,1,,,,,,
ARTICULO268,1773,,,,1,,,,,,
ARTICULO269,4743,,,,,1,,,,,
ARTICULO270,289,,,,,,,1,,,
,314,,,,1,,,,,,
,794,,,,,,,2,,,
ARTICULO273,1773,,,2,,,,5,,,
,3881,,,,,2,,,,,
ARTICULO275,3971,,,2,,,,,,,
ARTICULO276,1798,2,2,4,1,,,,,,
ARTICULO277,5533,,,1,,,,,,,
ARTICULO278,2187,1,,,,,,,,,
ARTICULO279,7528,2,,,,,,,,,
ARTICULO280,7528,1,,,,,,,,,
ARTICULO281,898,,,,,,,6,,,
ARTICULO282,898,,,,,,,6,,,
,8499,,,,10,,,,,,
ARTICULO284,8259,,,1,,,,,,,
ARTICULO285,316,,,,,,2,,,,
ARTICULO286,316,,,,,,2,,,,
,925,,4,,,,,,,,
,3768,,,,,,,,1,,
ARTICULO289,564,,2,,,,,,,,
ARTICULO290,8354,,,6,,,,,,,
ARTICULO291,3756,1,,,,,,,,,
ARTICULO292,8354,,,1,,,,,,,
ARTICULO293,103,,,,,1,,,,,
ARTICULO294,103,,,,,1,,,,,
ARTICULO295,6636,,,1,,,,,,,
ARTICULO296,103,,,,1,,,,,,
ARTICULO297,2574,,1,,,,,,,,
ARTICULO298,925,,,,,,,,,1,
ARTICULO299,374,,,1,,,,,,,
ARTICULO300,1341,,,2,,,,,,,
ARTICULO301,958,,,2,,,,,,,
ARTICULO302,776,,,,,1,,,,,
ARTICULO303,776,,,,,1,,,,,
ARTICULO304,4805,1,,,,,,,,,
ARTICULO305,4805,1,,,,,,,,,
ARTICULO306,6636,5,1,,,,,,,,
ARTICULO307,4077,7,,6,,,,,,,
ARTICULO308,892,4,,,,,,,,,
ARTICULO309,564,,,1,,,,,,,
ARTICULO310,6802,,,10,,3,,,2,,
ARTICULO311,6802,,6,1,,2,6,2,3,2,
ARTICULO312,794,18,13,,3,,,,,,
,4743,1,,2,2,,,2,,,
,5039,,2,,,,,,,,
ARTICULO315,314,,,,,1,,,,,
,2979,,,1,,,,,,,
ARTICULO317,2655,,,,1,,,,,,
,5039,,,,2,,,,,,
ARTICULO319,4743,,,1,,,,,,,
ARTICULO320,5615,,,2,,,,,,,
ARTICULO321,2655,,,,1,,,,,,
ARTICULO322,794,1,,,,,,,,,
ARTICULO323,314,,,,1,,,,,,
ARTICULO324,564,,,,1,,,,,,
ARTICULO325,5533,,1,,,,,,,,
ARTICULO326,794,1,,,,,,,,,
