CODIGO ARTICULO,CLI,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,5369,4,12,2,,3,12,4,,,
,6190,,,,,,1,,,,
,7295,,,,,,,,,2,
,7307,,,,,,,,,1,
,7347,,1,,,,,,,,
,8281,,,2,,,,,,,
,8722,,,,,,,1,,,
,9282,,,,,,,2,5,,3
,9884,,,,,,,,,1,
ARTICULO16109,425,,,,,,1,,,,
,7307,,,,,6,,,,,
,8429,,,,0,,,,,,
,8473,,,,,,1,,,,
,8589,,,,1,,,,,,
ARTICULO16114,8429,,,,1,,,,,,
ARTICULO16115,8913,,,,,1,,,1,,1
ARTICULO16116,2464,,,,,1,,,,,
,8517,,,,,1,1,,,,
,8969,,,,,1,,,,,
,9322,,,,,,,1,,,
ARTICULO16120,5109,,,,,1,,,,,
,9325,,,,,,,4,,,
ARTICULO16122,425,,4,,,,,,,,
,1111,1,2,,1,1,,,,3,6
,2464,,,,,1,1,,,,
,3335,0,,,,,,,,,
,5085,,,,,1,1,,,,
,5535,,1,,,,,,,,
,7307,,,,,,,,,1,
,8237,,,12,,,,,,,
,8751,,,,,1,,,,,
,8866,,,,,2,,,,,
,8969,,,,,,,,,1,
,9416,,,,,,,1,,,
ARTICULO16134,8522,,,,1,,,,,,
,8617,,,,4,,,1,,,2
ARTICULO16136,7609,,2,,,,,,,,
ARTICULO16137,530,,50,,,,,,,,
ARTICULO16138,787,,,3,,,,,,,
,898,2,,,,,,,,,
ARTICULO16140,103,,,,,4,,,2,,
,289,,,,,,,1,,,
,319,,,,,1,,,,,
,9543,,,,,,,,1,,
ARTICULO16144,807,,,,,,1,,,,
,1328,,,,,,,,,1,
ARTICULO16146,339,,,,,,,,,,1
,969,,,,,,3,5,,,
,6994,,,1,,,,,,,
ARTICULO16149,427,,,,,,,,,1,
ARTICULO16150,238,3,,12,3,,6,,3,,3
,684,,1,2,,1,,,,,
,2119,10,,,,,,,4,,
,2135,,,1,1,1,,,7,2,
,2201,,,1,2,,,1,,,
,2216,,,,,3,,,6,,
,2219,,,,,,,4,,,
,2690,,,,,,,,,1,
,4909,,,,,,,,,,8
,4990,,,,,,,30,30,25,31
,5322,,,,,2,,,,,
,7256,2,,,,,,,,,
,7699,10,10,,10,,,,,,
,7706,2,,,,,,,,,
,8027,,,,,,,,,2,
,9598,,,,,,,,,2,2
ARTICULO16166,1271,,,,,,,2,,,
,2187,,,,7,10,,,,,
,2318,,,,,2,1,3,,5,1
,3154,,,1,,,,,,,
,4909,,,,,,1,1,,,
,6206,,,2,,4,4,,,,
,6208,,,2,,,,,,,
,9445,,,,,,,2,,,
ARTICULO16174,427,,,,13,3,,,,,
,1604,,,,,,1,,,,
,2119,4,,,,,,,,,
,2135,,,,,,,,,,2
,2201,,1,,6,,,4,5,3,1
,2690,,,,,,,,,2,
,2885,,,,,2,17,,6,6,
,4970,,,,,3,,,,,
,7516,3,,,,,,,,,
,8359,,,,,,1,,,,
ARTICULO16184,427,16,,,,,,,,,
,935,,,,,,2,,,,
,1275,1,,,,,,,,,
,2119,54,,,,,20,,1,4,2
,2187,,3,,,,,,,,
,2201,,,5,7,9,,,,6,4
,2216,,,1,,,,,,,
,2623,,4,,,,,,,,
,2885,1,2,4,,1,,,,,
,2946,,2,,,,,,,,
,3366,2,,,,,,,,,
,3948,,,,,,1,,,,
,4815,,,11,37,120,40,40,80,61,112
,4865,,,,2,,,,,,
,4909,,4,5,5,,,8,,,8
,4990,,,,,14,11,12,5,,
,6807,,,,,26,,,,,
,7292,2,,,,,,,,,
,7647,15,12,,,,,,,,
,8359,,,,,,1,,,,
,9561,,,,,,,,,,1
,9644,,,,,,,,3,,
,13027,,8,,,,,,,,
ARTICULO16207,1271,,,,,,7,,8,10,
,2187,,5,,,,,,,,
,4970,,,,,2,,,,,
,9371,,,,,,,,4,,
ARTICULO16211,427,,,,,,,,4,2,
,473,,,1,,,,,,,
,530,,,,,,,1,,,
,1271,,1,,,,,,,,
,2118,,,,,,,,,,2
,2119,5,17,16,1,8,11,7,5,3,3
,2135,,4,2,,2,,,,,
,2435,,,,2,,,,,,
,2667,4,,,,,,,,,
,2690,,,,2,,2,2,,,
,2946,2,,,,,,,,,
,3366,2,3,,,,,,,,
,3517,,,6,,,,,,,
,4056,5,3,10,5,7,14,10,8,5,7
,4253,,,,8,,,,,,
,4909,,,,,,,,,,6
,4990,,,,,2,1,,,1,1
,5888,,5,24,,,,,,,
,6385,,,,,,,2,,,
,7256,2,,,,,,,,,
,7714,1,,,,,,,,,
,7847,,,,1,2,,,,,
,9371,,,,,,,,2,,
,9628,,,,,,,,1,,
ARTICULO16235,1271,,,,,,,,,3,
,2187,,1,,,,,,,,
,3422,,,,,5,,,,,
,4990,,,,8,6,,,1,,
ARTICULO16239,285,,,,2,2,,,,,
,427,8,,,,,,,2,1,1
,501,,,,2,,,,,,
,1555,2,,,,,,,,,
,2119,9,,1,,,,,,1,1
,2174,2,,,,,,,1,1,1
,2187,3,,2,,2,,,,,
,2309,,2,4,,,4,,,,
,2318,5,,,,,,,,,
,2435,,,,,,,,,4,
,2690,,,,2,,,,,,
,2885,,,,,,,,,,2
,2967,,4,,,,,,,,
,3061,1,,,,,1,,,,
,3366,2,8,,,,,,,,
,3422,,,,,,2,,,,
,3881,,,,,,,4,,,
,4909,,,,1,10,,,,,
,5345,,15,,,,,,,,
ARTICULO16258,222,,1,,,,,,,,
,427,,,2,,,2,,,4,
,501,,,3,5,,,,,,
,1091,4,,,,2,,,,,
,1185,,,,,,,,,,3
,1271,,,,,,7,,4,2,2
,2119,,,1,1,1,,1,,2,
,2135,1,,1,,,,,,,
,2174,,,1,1,,,,,,
,2187,5,8,7,8,,,,,,
,2294,,,,,,2,,,,
,2463,35,32,50,33,57,61,43,51,42,41
,2690,,,,,1,1,2,,,
,2830,,,6,,,,,,,
,2885,2,,,,,,,,3,
,4204,7,,6,,3,2,2,,2,
,4556,,,1,,,,,,,
,4640,,,3,,,,,,,
,4909,,4,1,2,,,,,,
,5388,,,,,,,,,6,
,7073,,,,,,3,2,2,1,1
,7482,,,2,,,,,,,
ARTICULO16280,238,,,2,,,,,,,
,427,6,3,1,21,12,1,28,32,19,14
,1271,,,,,,,9,,,
,1359,,,,2,,,,,,
,2119,4,,,,,,,,,
,2135,,,,,,5,,,,9
,2161,,2,,,,,,,,
,2174,,1,2,,6,,,1,1,1
,2187,1,3,7,2,,,,,,
,2309,3,,,12,6,,4,,,
,2396,,,,,,,1,,,
,2463,10,8,24,12,8,,10,15,,
,2623,,,,,4,,,,,
,2690,2,1,,1,4,2,,,2,1
,3061,,,,2,,,,,,
,3164,,,,1,,,,,,
,3422,,,1,,,,,,,
,3468,,,,2,,,,,,
,4729,,,,,,,,,1,
,4803,,,,,,,,,,2
,4909,3,1,,0,1,,,2,,
,5030,,,,,,,,1,,
,5493,,,,,,,,,8,
,6787,,,,4,,,,,,
,6802,,,,,,4,1,,,3
,7298,,,,,,,,,2,
,7516,,1,,,1,,1,,,2
,7679,2,2,,,,,,,,
ARTICULO16308,427,,1,,,,,,,,1
,1271,,1,,,,2,,1,,
,2119,,,3,1,,2,1,3,1,4
,2135,2,,,2,,,,,,1
,2201,40,42,62,40,40,32,46,34,16,14
,2216,,,,,,,,,,1
,2463,,2,20,36,59,69,58,46,32,30
,2623,,1,,,,,,,,2
,2690,,1,,1,6,,,2,,1
,3517,,,4,,,,,,,
,3756,3,,,,,,,,,
,4640,2,,4,1,,,2,2,1,
,4758,,,1,,,,,,,
,4909,,,,,1,,,2,1,1
,4990,,,,,1,,,,,
,5388,12,12,,,,12,,8,18,18
,7256,,,,,6,,,,,
,7397,,,2,,,,,,,
,7418,,,,,,,2,,,
,7460,,,,2,,,,,,
,7516,1,3,,,,1,,,,
ARTICULO16329,238,2,1,3,2,1,3,,,,2
,427,1,,,,1,,,3,,
,501,,,,,,5,5,6,9,9
,1091,,,,,6,,,,,
,1271,,,,,,,,2,,
,2119,2,3,3,,4,,2,,4,5
,2135,,,,,,,,,,2
,2187,6,10,25,12,11,,,,,
,2201,1,,,,,,,,,
,2309,,,,3,,,,,,
,2356,2,,,,,,,,,
,2396,2,1,5,2,,12,,4,8,15
,2463,,,,,,2,,6,,6
,2623,,1,1,,,,,,,
,4640,2,,1,1,1,,,,,
,4704,,,,,,,,,,1
,4729,,,,,,,,,4,
,4909,,3,1,1,4,,,,1,1
,5388,16,24,,3,34,28,10,27,18,17
,5493,,2,,,,,,,,
,7186,1,,,,,,,,,
,7397,,,,,,,3,,,
,7516,,1,,,,,,,,
,20595,,,,,,,,7,,
ARTICULO16353,222,1,5,3,6,2,2,4,7,4,3
,427,,,,,2,2,2,,1,
,501,,,1,1,,,,,,
,1271,,,,,,3,4,1,,
,1328,,,,,,1,,,,
,2119,4,,,,8,,3,,2,1
,2132,1,,,1,,,,,,
,2135,1,8,,8,2,,,9,1,
,2159,2,11,2,1,,1,1,,,1
,2174,,,,1,4,,1,1,1,2
,2187,5,,2,,3,,,,,
,2219,,2,,,2,,,,,
,2309,5,3,3,2,8,,2,,,
,2350,2,,,,,,,,,
,2435,1,,1,1,,,,,,
,2463,13,9,8,19,23,27,24,20,17,14
,2485,,,,2,,,,,,
,2623,,1,1,,,,,,,
,2690,,,,,,,,,1,
,2946,1,,,,,,,,,
,3164,,,,1,,,,,,
,3668,,1,,,,,,,,
,3975,,,,4,,,,,,
,4556,4,,,2,8,4,,,22,4
,4640,1,,1,3,3,2,1,1,6,
,4802,,,,,1,,,,,
,4909,4,,,,,,1,,,
,4990,,,,,1,,,,,
,6096,,,1,,,,,,,
,7256,,10,5,4,1,,,,,
,7292,,,4,,,,,,,
,7516,,2,,3,,2,,,1,3
,8027,,3,3,,,,,,,
,8591,,,,1,,1,,,,
,8796,,,,,1,,,,,
,8879,,,,,2,,,,2,
,8912,,,,,,4,2,,,
,9487,,,,,,,,1,,
ARTICULO16391,238,,,,2,,,,,,
,314,,,1,,,7,,,,
,427,,,,,,2,,,,
,2135,1,,,,4,,,,,
,2435,,,,,,2,,,,
,2463,3,3,4,23,20,34,19,17,,17
,2545,,1,,,,,,,,
,2690,,,,,,,,1,,
,2716,,,,,,,,,3,
,3422,,,,,1,,,,,
,3668,,,,,,1,,,,
,4704,,1,,,,,,,,
,4909,1,,,,,,,,,
,7516,1,3,4,1,,,,4,,2
ARTICULO16405,222,12,,,,,,,,,
,427,,,1,,1,,3,2,,
,935,,,,,,2,,,,
,1271,,,,,,3,6,,,
,1359,,8,,,,,,,,
,1424,,2,,,,2,,,,
,2119,4,3,17,,2,,,2,6,5
,2135,2,4,2,3,2,2,2,,,
,2174,1,1,,1,2,1,1,,,
,2187,2,5,,9,1,,,,,
,2201,1,,,,,,,,,
,2216,,,1,,,,,,,
,2219,,,,,,,7,7,,
,2294,2,,,,,,,,,
,2307,,,,,,,,1,,
,2309,,,,1,,2,,,,
,2350,2,,,,,,,,,
,2356,,,,,,,,,,2
,2435,3,,,1,,,,,,4
,2463,28,22,36,39,32,25,28,16,36,12
,2667,,1,1,1,,,,4,,
,2946,1,,1,,,,,,,
,3029,,,,2,,,,,,
,3422,1,1,,0,,,,,3,
,3756,,,,,,,4,,,
,4073,,,,2,,,,,,
,4284,,4,,,,,,,,
,4497,,,,,,,1,,,
,4556,,,,,,,2,,,
,4704,4,,,,,,,,,
,4803,,,,,,,,5,,
,4909,4,,,,3,,,,,
,4990,2,1,2,4,,,,,,1
,6151,15,20,15,,4,,10,10,10,
,6170,,2,,,,,,,,
,6802,,,,,,,4,,,
,7073,,,,,,,,,1,
,7253,,,,,,,2,1,,
,7256,,10,5,4,1,,,,,
,7397,,,,,,,1,,,
,7418,,,,,,,,,2,
,7516,4,3,2,6,1,2,,7,1,3
,7776,2,,,3,,,,,,
,8027,,,,,,,,,,1
,8591,,,,,,,1,,,
,9783,,,,,,,,,1,
ARTICULO16451,7,,,,,,,,,1,
,238,1,,2,1,2,1,4,7,1,6
,501,1,,3,2,,,6,2,,
,1271,,,,,,2,,,,
,1325,,,,,,1,,,,
,1359,,2,,,,,,,,
,1604,,,9,3,3,,,,,6
,2119,4,4,1,1,,,6,,,
,2135,,1,2,1,,,,,,1
,2174,,2,,,,,,,,
,2187,2,,,2,6,,,,,
,2201,6,,,,,,,,,
,2435,,,,,,,1,,,
,3029,,1,,,,,,,,
,3234,,,2,,,,,,,
,3366,,1,,,,,,,,
,3422,,,,1,,,,,,
,4366,,,,,,,,,,1
,4665,3,5,20,4,1,,1,,,
,4729,,,,,,,,,3,
,4803,,,2,,,,,1,,
,4909,,1,9,1,1,,1,,,1
,5388,4,0,2,,34,16,10,0,,
,7256,1,,,,,,,,,
,7516,,1,,1,2,,,,,
,9753,,,,,,,,,1,
,20595,,,,,,1,,,,
ARTICULO16478,144,,,,,,,,,1,
,427,,,,,,,2,,2,3
,1271,,,,,,,1,,5,
,1359,,,,,,,2,,,
,1555,1,,,,,,,,,
,2029,2,,,,,,,,,
,2119,32,,6,3,,,,1,2,
,2135,2,8,,,,,,,,
,2159,,,,,,1,,,,
,2174,1,,,,,,2,,,
,2187,6,5,3,7,6,,,,,
,2201,10,,,,,,,,,
,2216,,,,,,,1,1,,
,2220,,,,1,,,,,,
,2309,,,1,,,,1,4,,
,2318,,4,,,,,,,,
,2435,,,,,,,,,2,
,2463,1,,1,,,1,,,,
,2465,,1,,,,,,,,
,3029,2,11,,2,4,,,12,4,2
,4432,,,,,,6,4,4,2,8
,4497,2,,,,,,,,,
,4556,,,,,,,2,,,
,4704,,,,,,,,,1,
,4729,,,,,,,,,2,
,4741,,2,,,,,,,,
,4743,,,1,,,,,,,
,4758,,,,,,,,,,4
,4803,2,,,,,,2,,,
,4909,,,1,,,,,,,
,4990,4,6,8,6,5,8,4,5,2,2
,5388,,1,1,,10,8,7,,,
,5822,,,,,,2,,,,
,6338,,,1,,,,,,,
,6385,1,2,,,,,,,,
,6907,,,,1,,,,,,
,7451,,,,,2,-2,,,,
,7482,,2,,,,,,,,
,7516,,2,,,,,,,,1
,13027,,,,,2,,,1,,
,20595,4,3,4,12,3,,,5,4,
ARTICULO16519,501,,,,1,2,1,2,,,
,837,1,,1,1,3,1,,1,,
,2029,1,,,,,,,,,
,2119,,,5,,,,,,,
,2187,,16,,,,,,,,
,2309,,,,,2,,,,,
,2396,,,,,,2,,,,
,3234,,,,,2,10,,,,
,4909,1,1,,,,,,,,1
,5388,,,4,2,5,,,,,
,7516,1,,2,,2,,,,,
,8453,,,,2,,,,,,
,9485,,,,,,,1,3,,
,20595,46,31,38,45,32,23,36,32,25,10
ARTICULO16533,222,16,,,,,,,,,
,427,,2,,,,,,2,,
,1271,,,,,,3,,1,1,
,1555,1,,,,,,,,,
,2029,,,1,,,,,,,
,2119,1,5,4,1,1,2,1,2,1,4
,2135,,,,,,,,,,1
,2187,8,2,5,17,,,,,,
,2201,,,,5,,,2,2,,
,2246,,2,,,,,3,4,2,
,2309,,,2,2,1,2,,1,,
,2318,,,,,1,,,2,,
,2396,,3,,,,,,,,
,2435,,2,,,,,1,,,
,2463,10,20,16,20,20,17,16,17,17,10
,2465,,,5,,,,,,,
,2485,,,,,,,,,,1
,2924,,,,,,,62,,,
,2927,,,,1,,,,,,
,3335,,,,,,2,1,,,
,3366,,1,,,,,,,,
,3408,,,,,,4,,,,
,3881,,1,,,,,,,,
,3975,,,,11,,,,,,
,4704,,,,,,,,1,1,
,4803,,,,,9,,,5,,
,4909,,,,5,,,,1,,
,4990,7,4,,4,3,,2,6,,2
,5906,,,,,,,,,,1
,6338,,,,1,,,,,,
,6385,1,3,,2,2,,,,,
,7237,,,,,,,,2,,1
,7516,,4,,,1,,,1,,1
,8293,,,,,,4,,,,
,8810,,,,,,,,4,,
,20595,2,2,,1,5,1,1,3,2,
ARTICULO16569,238,,,,,,,,,3,
,427,,,1,,,1,1,,,
,1555,,,1,,,,,,,
,2187,2,,,,,,,,,
,2463,,,,,,,,3,,
,4153,,27,73,12,35,58,120,100,140,60
,4405,40,12,,,,,,,,
ARTICULO16576,493,,,,,,1,1,,,
,1271,,,,,,,2,,,
,1437,,,4,,,,,,,
,2119,20,,,,,,,,,
,2135,7,,2,,,,2,,3,1
,2174,1,,,,,,,,,
,2187,,,,1,,,,,,
,2435,,,1,,,,,,,
,3215,,,,,1,,,,,
,4990,4,8,2,2,,4,,4,2,4
,5388,,,,,,,1,,1,
,7482,,,,,,,1,,,
,7516,,2,4,,1,,,,,2
ARTICULO16589,144,,,,,,,,,1,
,238,,,,,,,,,1,
,449,1,,,,2,,,,,
,1271,,,,,,1,,,,
,2435,,,,,2,,,,,
,4909,,,1,,,,,,,
,5388,,,2,3,1,,,,,
ARTICULO16596,238,,,,,,,,2,,
,427,,,,,1,2,1,,,2
,493,2,,,,,,,,,
,2174,2,,,,,,,,,
,2187,,20,4,14,2,,,,,
,2435,,,,,2,1,,,,
,2573,,,,,,,,72,,
,2828,,,,,1,,,,,
,3029,,10,2,,,,,17,,
,3164,,,,,2,,,,,
,3422,,,,4,,,,,,
,4556,,,,,3,,,2,,1
,4758,,,,,3,,,,,
,4803,2,2,,,,,,,,
,4990,,,,,1,,,,,
,6385,,,,1,,,,,,
,9326,,,,,,,1,,,
,13027,3,,,,,,,,,
ARTICULO16614,427,,,,,,,,,2,1
,711,,,,,,,3,,,
,837,,,,,2,,,,,
,1271,,,,,,5,,,,
,2119,4,,,7,,3,,2,2,2
,2187,1,,,,,,,,,
,2309,,,,,,2,,,,
,2396,,,,,,2,,,,
,4727,1,,,,,,,,,
,4909,,,4,,,,,,,
,5388,,2,,,2,,,,,
,5934,,,,,,,,,1,2
,7397,,1,,,,,,,,
,8087,,,,,,,1,,,
,9617,,,,,,,,1,,
,20595,,,,,,,,1,,
ARTICULO16630,2119,4,,1,,,,,,,
,2216,12,,,,,,,,,
,4497,,,2,1,,1,,,,
,4990,,,6,31,48,54,21,,,
ARTICULO16634,314,,1,,,,,,,,
,427,2,,,,,,,,,1
,1271,,,,,,,,,4,
,1371,,2,,,,,,,,
,2282,1,,,,,,,,,
,2292,,,,,,,19,,,
,2318,,,,,2,,,,,
,3164,,,,,1,,,,,
,4909,,,1,,,,,,,
,5493,,,,,,,,,1,
,7516,2,,,,,,,,,
,7591,,,,1,,,,,,
,7725,,,,,,,,,,1
ARTICULO16647,2187,,40,,,,,,,,
,2318,,,,,,,,,1,
,3422,,,3,,,1,,,,
,4497,,4,,,,,,,,
,5295,10,,,,,,,,,
,5493,,,,,,,,1,,
ARTICULO16653,2135,,,,,,,,2,,
,2187,,,,1,5,,,,,
,2227,,,,,,1,,,,
,4909,,,,,1,,1,2,,
,6208,,,,3,,,,,,
,9224,,,,,,16,,,,
ARTICULO16659,2187,,2,,,,,,,,
ARTICULO16660,1328,,,,,,,,,2,
,2119,,,,,,,,4,,
,2135,,,,,,4,,,,
,4970,,,,,2,,,,,
,4990,,,,5,4,6,2,7,4,4
,6792,,,,,,,,,,6
,8722,,,,,1,,,,,
ARTICULO16667,2262,,1,,,,,,,,
,4362,1,,,,,,,,,
,8024,,,,,1,,,,,
,9502,,,,,,,,1,,
ARTICULO16671,427,,,,,,1,,,2,
,711,,,1,,,,,,1,1
,2187,,,1,1,,,,,,
,2463,,,,,,,,,,1
,6154,,5,,,,,,,,
,6913,,,,,,,,,,2
,8957,,,,,,,,3,1,
,9561,,,,,,,,,,1
ARTICULO16679,427,2,2,,,,,,,,
,13027,1,,,,,,,,,
ARTICULO16681,4119,,1,,,,,,,,
ARTICULO16682,427,,,,,,,,4,,
,2174,,,,1,,1,,,,
,2885,,,,,2,2,14,4,2,
,3091,,,2,,,,,,,
,3508,,,,,,,,,,1
,4909,,,,,,,,,1,
,5636,,,2,1,,,,,,
,6802,,,,,,2,,,,2
,7113,,1,,,,,,,,
,8452,,,,,,,2,,,
ARTICULO16692,1271,,,,,,6,,,,
,2885,,,,,,,3,,,3
,3421,,,,,,,1,,,
,4068,,,,,,,,,5,
,5727,,,,,,,,1,,
,9814,,,,,,,,,1,
ARTICULO16698,1271,,,,,,,1,2,,
,2187,,,,,4,,,,,
ARTICULO16700,2885,,,,,,,,,6,
,3508,,,,,1,,,,,
,6373,,,,1,,,,,,
,6670,,,,,,,,1,,
,6913,,2,,,4,,,,,
,7570,,,2,,,,,,,
ARTICULO16706,837,3,5,9,12,3,1,6,4,1,1
,2187,1,,,,,,,,,
,4204,1,,,,,,,,,
ARTICULO16709,2441,,2,1,,1,,,,,
,3422,,1,,,,,,,,
,4373,,,,,,,,1,,
,6440,,,,,,,2,,,
,8259,,,1,,,,,,,
ARTICULO16714,427,,,,,,,,,2,
,473,1,,,,,,,,,
,1271,,,,,,,,2,,
,1275,12,22,8,16,8,4,,,,
,2174,,,1,,,,,4,8,
,2187,,1,,,,,,,,
,2464,,,,,1,,,,,
,4068,,,,,2,2,1,2,,
,4514,,,,16,,,5,,,
,4909,,,,,1,,,,,
,5052,3,,,,5,2,2,2,2,
,6208,,,,,,,,1,,
,6322,,,,,,3,3,3,4,
,6685,3,2,4,,,2,,,,
,6802,4,,,,,,4,,,
,7655,1,,,,,,,,,
,8286,,,2,,,,,,,
,8872,,,,,1,1,,,,
ARTICULO16732,4204,1,,,,2,,3,,,
,8872,,,,,,2,,,,
ARTICULO16734,112,,,,,1,,,,,2
,353,,1,1,1,,,,,,
,427,,,,,,,,,2,4
,473,,,1,2,,,,8,,
,1271,,,,,,1,,,,
,2309,,,1,,,,,,,
,2435,,,,,,,2,3,,4
,2700,,,,,,,,1,2,1
,2826,,,2,,,,,,,
,3046,,,,,,,,1,,
,3164,,,,,1,,,,,
,4204,4,,,,,,,,,
,4514,,,6,6,7,5,,3,,
,4704,,,,,,,,3,,
,6355,,,,,,2,,,,
,6770,,,,,1,,,,,
,6802,,10,,15,40,42,25,25,,1
,7113,,3,,,,,,,,
,8210,,,,6,1,,,,,
ARTICULO16753,427,,,,,,,,2,,
,2174,,,1,,,,,4,8,3
,2282,,,,,,,,,,1
,2441,,1,,,,,,,,
,2885,,,,,,2,4,,,4
,4068,,,,,,,,,5,
,4909,,,,,,,,,1,
,6355,,,,,8,2,,30,36,10
,6685,,,2,,,,,,,
,6743,,1,,,,,,,,
,6802,1,,,,,,,,,
,8384,,,,2,,,1,,,
ARTICULO16765,353,,,,,,,,1,2,
,427,2,3,3,1,,1,3,4,6,
,1271,,,,,,12,,,,
,2146,,,,,,,,2,,
,2201,,,,9,,,,6,9,
,2435,,,,,,,,2,,
,2506,,,,,,8,3,3,2,3
,2885,3,,,,,,,,,
,3407,,2,,,,,,,,
,3975,,,,,,,,1,5,
,4068,,,,,,1,,,1,
,4204,,4,,1,3,6,,,,
,4514,,,3,,,,,,,
,4704,,,,,,,,4,,
,4909,,,11,,,,,,,
,6355,,,,2,2,,,7,,5
,7591,,,,,,,,,,2
,7622,,,4,,,,,-4,,
,8922,,,,,1,,,,,
ARTICULO16784,3046,,,,,,,,2,,
,8511,,,,,,,,,,16
ARTICULO16786,427,,,,,,,,,2,3
,2309,,,1,,,,,,,
,2435,,,,,4,1,,,,
,2885,0,,,,,,,,,
,2927,,3,1,,2,,,,,
,3154,1,,,,,,,,,
,3458,,,,,,,1,,1,1
,3716,2,,,2,,,,,,
,3975,,,,5,,,,,,
,4514,,,3,,,,,,,
,4803,,,,,,1,,,,
,5052,1,,,,,,,,,
,5261,,,,,,,1,,,
,7292,2,,4,,,,,,,
,7420,1,,2,3,1,2,,,,1
,7504,6,,,,,,,,,
,7994,,1,,,,,,,,
,8912,,,,,,8,2,,,
,10022,,,,,,,,,,2
ARTICULO16805,2885,,,4,,,,,,,
,6355,,,,,,,,,,1
,6770,1,,,,,,,,,
,7570,,,,,,,1,,,
ARTICULO16809,2465,,,,,,,,,2,
,2885,,,,,4,-2,,,,
,3893,,,,,,,1,3,,
,4204,,,,1,,,,,,
,4514,,,,,12,6,,,,
,8179,,,,,,,,2,,2
ARTICULO16815,2146,,,,2,,,2,,,
,3458,,,,,,,,,,1
ARTICULO16817,427,,,,,,,2,,,
,1271,,,,,,,,,,1
,2174,,,,,,,1,,,
,2307,,,,,1,,,,,
,3091,,,2,,,,,,,
,4909,,,,,1,,,,,
,5287,3,,,,,,,,,
,6338,,2,,,,,,,,
,6355,,,,,,,,,5,
,6877,,1,,,,,,,,
,7482,2,,,3,,1,1,1,1,1
,8878,,,,,4,,,,,
,9370,,,,,,,3,6,2,
,9683,,,,,,,,8,,
ARTICULO16831,427,,,,,,,,,2,
,1271,,,,,,1,,,,
,2056,,,,12,3,,,,,
,2309,4,4,3,6,,,,,,
,2465,,,,,,6,12,,1,
,2927,,,,,,,,1,,
,4909,,,,,,,,,2,
,7570,,,,,,,1,,,
,7583,,,1,,,,,,,
ARTICULO16840,7292,,,2,,,,,,,
ARTICULO16841,1218,1,,,,,,,,,
,5295,16,,,,,,,,,
,6355,,,,,,,,,1,
,6817,,,,2,,,,,,
ARTICULO16845,2396,,3,,,,,,,,
,9028,,,,,,,,1,,
ARTICULO16847,6670,,,,,,,,1,,
ARTICULO16848,427,,,,,,,,,,1
,6792,1,3,3,,,,,,,
,7848,1,,,,,,,,,
,8830,,,,,4,,,,,
,9051,,,,,,8,,,,
ARTICULO16853,427,1,1,,,,,,,,
,2282,,10,2,,3,13,2,6,21,6
,4802,,,,,2,,,,,
,5525,44,34,43,42,16,8,,22,,
,6723,2,,,,,,,,,
,8466,,,,,,,,,5,
,8839,,,,,1,,,1,,
,9744,,,,,,,,,3,
,10097,,,,,,,,,,6
ARTICULO16862,427,,,,,,1,,1,,2
,3272,,,,,,,,,,2
,4758,,,,,,,,,2,3
,5741,,,,,,2,,,,
,5754,,,1,,,,,,,
,8466,,,,,,,,2,,
,9808,,,,,,,,,1,1
ARTICULO16869,427,3,4,2,2,,1,6,1,,2
,1271,,,,,,,,,2,
,2177,,2,,,,,,,,
,2402,1,,,,,,,,,
,4758,,,1,2,4,4,9,21,15,30
,5754,,,3,3,,1,,,,
,7043,3,1,,3,2,,,,,3
,8384,,,2,1,,,,1,,
ARTICULO16877,427,1,,,,,,,3,,
,2135,,,,,2,,,,,
,2174,,2,2,4,,2,,,,
,3668,,,,,1,,,,,
,4514,,,,,4,,,,3,8
,4758,2,3,23,13,9,14,26,38,6,22
,5741,,,,,,2,,,,
,6732,,1,,,,,1,1,,
,6802,,,1,,,,,,,
,7584,1,,,,,,,,,
,8306,,,7,,,,,,,
,8466,,,,,,,,4,,
,9378,,,,,,,2,,,
ARTICULO16890,2174,,,,,,,,,2,
,4758,,,1,2,3,3,8,3,4,1
,6802,,,,,2,2,,,4,6
ARTICULO16893,6792,,1,,1,2,,,,,
,7843,2,,,,3,,,,,
ARTICULO16895,4119,,2,,,,,,,,
,4529,,,,,,,,,1,
,9445,,,,,,,2,,,
ARTICULO16898,8010,,1,,,,,,,,
ARTICULO16899,2501,,,1,1,,,1,,,1
,8161,,,,4,3,,2,4,,
ARTICULO16901,4792,,,,,,,4,,,
,7482,,,,,1,,,,,
ARTICULO16903,452,,,1,,,,,,,
ARTICULO16904,1271,,,,,,,,1,,
,2187,,,,2,,,,,,
,4792,,,,,,,2,,,
,8293,,,3,,,,,1,,
,13027,,,1,,,,,,,
ARTICULO16909,2187,,,,2,,,,,,
,4718,,,,,,,,2,,
,8161,,,,,4,2,,3,3,6
,8681,,,,2,,,,,,
ARTICULO16913,1478,,2,,,2,,,,2,
ARTICULO16914,711,,149,,,,,,,,368
ARTICULO16915,3696,,,,1,,,,,,
,7480,,,,,4,,,,,4
ARTICULO16917,655,,,,,,,,8,,
,9211,,,,,,,,,1,
ARTICULO16919,655,,,,8,,,,4,,
,7183,1,,,,,,,,,
,9211,,,,,,2,,,,3
ARTICULO16922,655,,,2,,,,,,,
,3696,1,,,,,,,,,
